folder_path,label
D:\processed_faces\fake\594_530,1
D:\processed_faces\real\id28_0007,0
D:\processed_faces\fake\502_504,1
D:\processed_faces\fake\02_15__exit_phone_room__I8G2LWD1,1
D:\processed_faces\real\627,0
D:\processed_faces\real\805,0
D:\processed_faces\fake\id2_id30_0008,1
D:\processed_faces\real\id53_0006,0
D:\processed_faces\fake\id3_id26_0002,1
D:\processed_faces\fake\id4_id20_0004,1
D:\processed_faces\real\id31_0000,0
D:\processed_faces\fake\01_03__outside_talking_still_laughing__JZUXXFRB,1
D:\processed_faces\fake\id3_id31_0008,1
D:\processed_faces\fake\id9_id1_0001,1
D:\processed_faces\fake\02_14__walking_outside_cafe_disgusted__3IUBEKCT,1
D:\processed_faces\fake\713_726,1
D:\processed_faces\real\00225,0
D:\processed_faces\fake\519_515,1
D:\processed_faces\real\id33_0006,0
D:\processed_faces\real\id58_0003,0
D:\processed_faces\fake\566_617,1
D:\processed_faces\fake\187_234,1
D:\processed_faces\real\860,0
D:\processed_faces\real\567,0
D:\processed_faces\fake\id2_id28_0000,1
D:\processed_faces\real\07__podium_speech_happy,0
D:\processed_faces\fake\02_04__secret_conversation__8CH7R4LW,1
D:\processed_faces\real\id9_0007,0
D:\processed_faces\real\00181,0
D:\processed_faces\real\140,0
D:\processed_faces\fake\02_06__secret_conversation__O9WOC1KJ,1
D:\processed_faces\fake\959_957,1
D:\processed_faces\fake\id4_id1_0008,1
D:\processed_faces\real\993,0
D:\processed_faces\real\00232,0
D:\processed_faces\fake\id3_id1_0008,1
D:\processed_faces\fake\id6_id20_0006,1
D:\processed_faces\fake\188_191,1
D:\processed_faces\real\00172,0
D:\processed_faces\real\510,0
D:\processed_faces\fake\687_615,1
D:\processed_faces\real\912,0
D:\processed_faces\fake\312_021,1
D:\processed_faces\fake\01_27__talking_angry_couch__ZYCZ30C0,1
D:\processed_faces\real\802,0
D:\processed_faces\real\570,0
D:\processed_faces\real\00052,0
D:\processed_faces\fake\02_18__walking_and_outside_surprised__B95S4G6F,1
D:\processed_faces\fake\777_745,1
D:\processed_faces\fake\id4_id20_0008,1
D:\processed_faces\real\779,0
D:\processed_faces\real\id52_0004,0
D:\processed_faces\real\133,0
D:\processed_faces\real\12__exit_phone_room,0
D:\processed_faces\fake\01_11__outside_talking_pan_laughing__LL4RUKZA,1
D:\processed_faces\fake\id6_id35_0006,1
D:\processed_faces\real\854,0
D:\processed_faces\fake\961_069,1
D:\processed_faces\fake\720_672,1
D:\processed_faces\real\00026,0
D:\processed_faces\real\id52_0005,0
D:\processed_faces\fake\id9_id2_0001,1
D:\processed_faces\real\903,0
D:\processed_faces\fake\id7_id13_0007,1
D:\processed_faces\fake\id3_id1_0004,1
D:\processed_faces\real\374,0
D:\processed_faces\real\14__walk_down_hall_angry,0
D:\processed_faces\real\id37_0005,0
D:\processed_faces\fake\id0_id2_0006,1
D:\processed_faces\fake\id6_id1_0004,1
D:\processed_faces\real\11__talking_against_wall,0
D:\processed_faces\fake\580_524,1
D:\processed_faces\real\23__walking_down_indoor_hall_disgust,0
D:\processed_faces\fake\284_263,1
D:\processed_faces\fake\id3_id4_0001,1
D:\processed_faces\fake\228_289,1
D:\processed_faces\real\804,0
D:\processed_faces\fake\02_01__outside_talking_still_laughing__YVGY8LOK,1
D:\processed_faces\fake\269_268,1
D:\processed_faces\fake\590_034,1
D:\processed_faces\fake\603_575,1
D:\processed_faces\real\id7_0000,0
D:\processed_faces\fake\id7_id11_0002,1
D:\processed_faces\real\003,0
D:\processed_faces\fake\id8_id2_0008,1
D:\processed_faces\real\504,0
D:\processed_faces\real\id20_0009,0
D:\processed_faces\real\669,0
D:\processed_faces\real\877,0
D:\processed_faces\fake\id1_id35_0006,1
D:\processed_faces\real\265,0
D:\processed_faces\real\id11_0008,0
D:\processed_faces\fake\796_740,1
D:\processed_faces\fake\id8_id0_0003,1
D:\processed_faces\fake\134_192,1
D:\processed_faces\real\id26_0000,0
D:\processed_faces\fake\812_821,1
D:\processed_faces\fake\id6_id3_0007,1
D:\processed_faces\real\14__outside_talking_pan_laughing,0
D:\processed_faces\real\10__walking_down_street_outside_angry,0
D:\processed_faces\fake\903_792,1
D:\processed_faces\real\569,0
D:\processed_faces\fake\562_626,1
D:\processed_faces\real\id4_0003,0
D:\processed_faces\fake\655_444,1
D:\processed_faces\real\id24_0004,0
D:\processed_faces\fake\01_11__exit_phone_room__9229VVZ3,1
D:\processed_faces\fake\850_764,1
D:\processed_faces\fake\741_731,1
D:\processed_faces\real\825,0
D:\processed_faces\real\839,0
D:\processed_faces\fake\757_573,1
D:\processed_faces\real\747,0
D:\processed_faces\real\162,0
D:\processed_faces\real\218,0
D:\processed_faces\fake\02_15__walking_and_outside_surprised__I8G2LWD1,1
D:\processed_faces\real\09__talking_against_wall,0
D:\processed_faces\real\id25_0009,0
D:\processed_faces\real\723,0
D:\processed_faces\fake\858_861,1
D:\processed_faces\fake\id0_id20_0007,1
D:\processed_faces\real\00080,0
D:\processed_faces\real\607,0
D:\processed_faces\fake\id4_id1_0006,1
D:\processed_faces\fake\727_729,1
D:\processed_faces\real\id32_0008,0
D:\processed_faces\fake\02_25__exit_phone_room__Z7FQ69VP,1
D:\processed_faces\real\946,0
D:\processed_faces\real\00086,0
D:\processed_faces\real\00239,0
D:\processed_faces\real\id50_0001,0
D:\processed_faces\real\950,0
D:\processed_faces\real\430,0
D:\processed_faces\real\23__outside_talking_still_laughing,0
D:\processed_faces\fake\02_06__kitchen_pan__3J3BHSHI,1
D:\processed_faces\fake\id0_id21_0000,1
D:\processed_faces\real\11__secret_conversation,0
D:\processed_faces\fake\id1_id31_0001,1
D:\processed_faces\real\id5_0004,0
D:\processed_faces\fake\id0_id23_0002,1
D:\processed_faces\fake\800_840,1
D:\processed_faces\real\15__talking_against_wall,0
D:\processed_faces\real\id22_0005,0
D:\processed_faces\fake\668_664,1
D:\processed_faces\fake\992_980,1
D:\processed_faces\real\id37_0006,0
D:\processed_faces\real\id31_0009,0
D:\processed_faces\real\829,0
D:\processed_faces\real\128,0
D:\processed_faces\fake\id3_id20_0001,1
D:\processed_faces\fake\761_766,1
D:\processed_faces\real\00075,0
D:\processed_faces\fake\604_703,1
D:\processed_faces\real\id8_0007,0
D:\processed_faces\real\748,0
D:\processed_faces\fake\838_810,1
D:\processed_faces\fake\id6_id17_0000,1
D:\processed_faces\fake\id3_id17_0006,1
D:\processed_faces\real\153,0
D:\processed_faces\fake\id1_id31_0007,1
D:\processed_faces\fake\560_557,1
D:\processed_faces\fake\02_09__podium_speech_happy__HIH8YA82,1
D:\processed_faces\fake\id1_id30_0001,1
D:\processed_faces\fake\id0_id16_0002,1
D:\processed_faces\fake\702_612,1
D:\processed_faces\fake\448_361,1
D:\processed_faces\fake\749_659,1
D:\processed_faces\fake\122_144,1
D:\processed_faces\fake\819_786,1
D:\processed_faces\fake\id8_id6_0007,1
D:\processed_faces\fake\224_197,1
D:\processed_faces\fake\751_752,1
D:\processed_faces\real\439,0
D:\processed_faces\real\673,0
D:\processed_faces\fake\id2_id3_0003,1
D:\processed_faces\fake\id1_id3_0001,1
D:\processed_faces\real\00013,0
D:\processed_faces\fake\id1_id30_0002,1
D:\processed_faces\fake\id2_id17_0009,1
D:\processed_faces\fake\02_03__walking_down_street_outside_angry__QH3Y0IG0,1
D:\processed_faces\fake\id2_id16_0002,1
D:\processed_faces\fake\id9_id2_0006,1
D:\processed_faces\real\00060,0
D:\processed_faces\real\id36_0003,0
D:\processed_faces\fake\997_040,1
D:\processed_faces\fake\526_436,1
D:\processed_faces\real\21__podium_speech_happy,0
D:\processed_faces\fake\744_674,1
D:\processed_faces\fake\id4_id20_0005,1
D:\processed_faces\real\id26_0004,0
D:\processed_faces\fake\id4_id21_0009,1
D:\processed_faces\real\901,0
D:\processed_faces\real\022,0
D:\processed_faces\fake\id4_id26_0007,1
D:\processed_faces\real\03__kitchen_pan,0
D:\processed_faces\real\id51_0002,0
D:\processed_faces\real\id57_0000,0
D:\processed_faces\fake\01_27__outside_talking_still_laughing__S2YCUY48,1
D:\processed_faces\real\918,0
D:\processed_faces\real\id6_0008,0
D:\processed_faces\fake\015_919,1
D:\processed_faces\fake\id9_id0_0006,1
D:\processed_faces\real\146,0
D:\processed_faces\fake\02_15__kitchen_still__HTG660F8,1
D:\processed_faces\real\967,0
D:\processed_faces\fake\id8_id3_0008,1
D:\processed_faces\real\670,0
D:\processed_faces\real\216,0
D:\processed_faces\real\223,0
D:\processed_faces\fake\id1_id28_0000,1
D:\processed_faces\fake\145_299,1
D:\processed_faces\fake\id4_id30_0002,1
D:\processed_faces\fake\02_09__secret_conversation__6KUOFMZW,1
D:\processed_faces\fake\209_016,1
D:\processed_faces\real\28__exit_phone_room,0
D:\processed_faces\real\506,0
D:\processed_faces\fake\217_117,1
D:\processed_faces\real\736,0
D:\processed_faces\fake\776_676,1
D:\processed_faces\fake\614_616,1
D:\processed_faces\fake\02_27__walking_outside_cafe_disgusted__3L1MLH3D,1
D:\processed_faces\fake\id4_id2_0006,1
D:\processed_faces\fake\323_302,1
D:\processed_faces\fake\id8_id1_0008,1
D:\processed_faces\fake\824_419,1
D:\processed_faces\real\177,0
D:\processed_faces\fake\id1_id31_0006,1
D:\processed_faces\fake\788_710,1
D:\processed_faces\real\id29_0008,0
D:\processed_faces\real\149,0
D:\processed_faces\real\398,0
D:\processed_faces\fake\681_711,1
D:\processed_faces\real\id4_0007,0
D:\processed_faces\real\11__walking_outside_cafe_disgusted,0
D:\processed_faces\fake\01_02__outside_talking_still_laughing__YVGY8LOK,1
D:\processed_faces\fake\id2_id3_0002,1
D:\processed_faces\fake\id6_id23_0006,1
D:\processed_faces\fake\id6_id16_0002,1
D:\processed_faces\fake\894_848,1
D:\processed_faces\real\429,0
D:\processed_faces\fake\id3_id0_0004,1
D:\processed_faces\real\348,0
D:\processed_faces\real\id25_0006,0
D:\processed_faces\real\909,0
D:\processed_faces\fake\380_358,1
D:\processed_faces\real\00062,0
D:\processed_faces\fake\id1_id16_0002,1
D:\processed_faces\fake\198_106,1
D:\processed_faces\fake\396_272,1
D:\processed_faces\fake\id4_id20_0007,1
D:\processed_faces\fake\595_597,1
D:\processed_faces\real\id1_0002,0
D:\processed_faces\fake\id6_id28_0000,1
D:\processed_faces\fake\700_813,1
D:\processed_faces\real\00027,0
D:\processed_faces\fake\250_461,1
D:\processed_faces\fake\id4_id35_0008,1
D:\processed_faces\real\407,0
D:\processed_faces\fake\id8_id9_0007,1
D:\processed_faces\fake\164_216,1
D:\processed_faces\real\id53_0002,0
D:\processed_faces\real\00139,0
D:\processed_faces\real\24__podium_speech_happy,0
D:\processed_faces\fake\393_405,1
D:\processed_faces\fake\id3_id31_0006,1
D:\processed_faces\fake\id3_id16_0008,1
D:\processed_faces\fake\02_03__walking_outside_cafe_disgusted__GYX5OFTD,1
D:\processed_faces\fake\id6_id30_0008,1
D:\processed_faces\fake\324_356,1
D:\processed_faces\fake\01_02__talking_against_wall__YVGY8LOK,1
D:\processed_faces\real\020,0
D:\processed_faces\real\273,0
D:\processed_faces\fake\id5_id60_0007,1
D:\processed_faces\fake\954_976,1
D:\processed_faces\real\id51_0008,0
D:\processed_faces\real\id4_0005,0
D:\processed_faces\real\00001,0
D:\processed_faces\fake\id1_id26_0001,1
D:\processed_faces\real\210,0
D:\processed_faces\fake\02_06__walking_and_outside_surprised__O9WOC1KJ,1
D:\processed_faces\fake\621_546,1
D:\processed_faces\real\00095,0
D:\processed_faces\real\198,0
D:\processed_faces\fake\03_02__walking_down_street_outside_angry__QH3Y0IG0,1
D:\processed_faces\fake\247_229,1
D:\processed_faces\fake\id4_id31_0006,1
D:\processed_faces\fake\740_796,1
D:\processed_faces\fake\02_14__secret_conversation__3IUBEKCT,1
D:\processed_faces\real\id28_0004,0
D:\processed_faces\real\id31_0007,0
D:\processed_faces\real\577,0
D:\processed_faces\real\13__talking_angry_couch,0
D:\processed_faces\fake\281_474,1
D:\processed_faces\real\00273,0
D:\processed_faces\fake\083_213,1
D:\processed_faces\fake\733_935,1
D:\processed_faces\real\165,0
D:\processed_faces\fake\752_751,1
D:\processed_faces\fake\id0_id26_0006,1
D:\processed_faces\fake\02_13__secret_conversation__PLNVLO74,1
D:\processed_faces\real\id2_0002,0
D:\processed_faces\real\id59_0007,0
D:\processed_faces\real\00135,0
D:\processed_faces\fake\475_265,1
D:\processed_faces\real\068,0
D:\processed_faces\real\00176,0
D:\processed_faces\real\06__walk_down_hall_angry,0
D:\processed_faces\real\26__walking_outside_cafe_disgusted,0
D:\processed_faces\fake\id2_id37_0005,1
D:\processed_faces\fake\144_122,1
D:\processed_faces\fake\613_685,1
D:\processed_faces\real\id21_0005,0
D:\processed_faces\real\930,0
D:\processed_faces\fake\893_913,1
D:\processed_faces\real\00166,0
D:\processed_faces\fake\718_972,1
D:\processed_faces\fake\02_06__walking_down_street_outside_angry__MKZTXQ2T,1
D:\processed_faces\real\761,0
D:\processed_faces\fake\02_06__walk_down_hall_angry__MKZTXQ2T,1
D:\processed_faces\real\00148,0
D:\processed_faces\real\id13_0000,0
D:\processed_faces\real\836,0
D:\processed_faces\real\id29_0004,0
D:\processed_faces\fake\447_431,1
D:\processed_faces\fake\id2_id21_0009,1
D:\processed_faces\real\615,0
D:\processed_faces\real\16__walking_down_street_outside_angry,0
D:\processed_faces\fake\118_120,1
D:\processed_faces\real\306,0
D:\processed_faces\fake\id0_id21_0001,1
D:\processed_faces\fake\02_15__talking_against_wall__I8G2LWD1,1
D:\processed_faces\fake\id3_id6_0009,1
D:\processed_faces\fake\507_418,1
D:\processed_faces\fake\345_259,1
D:\processed_faces\fake\id2_id26_0001,1
D:\processed_faces\real\00281,0
D:\processed_faces\fake\id3_id4_0006,1
D:\processed_faces\fake\249_280,1
D:\processed_faces\fake\id4_id6_0008,1
D:\processed_faces\real\id3_0000,0
D:\processed_faces\fake\474_281,1
D:\processed_faces\fake\983_113,1
D:\processed_faces\fake\02_25__walking_outside_cafe_disgusted__Z7FQ69VP,1
D:\processed_faces\fake\id0_id23_0007,1
D:\processed_faces\fake\id0_id16_0000,1
D:\processed_faces\fake\306_278,1
D:\processed_faces\real\id48_0002,0
D:\processed_faces\fake\id0_id1_0007,1
D:\processed_faces\real\166,0
D:\processed_faces\real\id56_0009,0
D:\processed_faces\real\id37_0000,0
D:\processed_faces\fake\701_579,1
D:\processed_faces\real\715,0
D:\processed_faces\real\447,0
D:\processed_faces\fake\id5_id60_0003,1
D:\processed_faces\real\095,0
D:\processed_faces\real\id29_0006,0
D:\processed_faces\real\id1_0004,0
D:\processed_faces\fake\633_529,1
D:\processed_faces\fake\id2_id26_0003,1
D:\processed_faces\real\12__walk_down_hall_angry,0
D:\processed_faces\real\id25_0010,0
D:\processed_faces\real\27__hugging_happy,0
D:\processed_faces\fake\960_999,1
D:\processed_faces\fake\02_25__talking_angry_couch__Z7FQ69VP,1
D:\processed_faces\real\00032,0
D:\processed_faces\real\617,0
D:\processed_faces\fake\01_04__meeting_serious__0XUW13RW,1
D:\processed_faces\fake\id2_id16_0004,1
D:\processed_faces\real\243,0
D:\processed_faces\real\796,0
D:\processed_faces\real\689,0
D:\processed_faces\real\id47_0001,0
D:\processed_faces\real\023,0
D:\processed_faces\fake\id2_id17_0000,1
D:\processed_faces\real\10__talking_against_wall,0
D:\processed_faces\real\id46_0006,0
D:\processed_faces\fake\568_628,1
D:\processed_faces\fake\409_382,1
D:\processed_faces\real\461,0
D:\processed_faces\real\486,0
D:\processed_faces\fake\id1_id37_0001,1
D:\processed_faces\fake\932_384,1
D:\processed_faces\fake\055_147,1
D:\processed_faces\real\id27_0003,0
D:\processed_faces\real\585,0
D:\processed_faces\real\251,0
D:\processed_faces\fake\946_049,1
D:\processed_faces\real\080,0
D:\processed_faces\real\00284,0
D:\processed_faces\real\394,0
D:\processed_faces\fake\731_741,1
D:\processed_faces\fake\227_169,1
D:\processed_faces\real\00293,0
D:\processed_faces\real\id31_0003,0
D:\processed_faces\real\id2_0007,0
D:\processed_faces\fake\222_168,1
D:\processed_faces\fake\611_760,1
D:\processed_faces\real\812,0
D:\processed_faces\fake\id4_id0_0007,1
D:\processed_faces\real\006,0
D:\processed_faces\real\19__outside_talking_still_laughing,0
D:\processed_faces\fake\02_06__meeting_serious__0M6JNS5D,1
D:\processed_faces\real\823,0
D:\processed_faces\fake\075_977,1
D:\processed_faces\real\id26_0008,0
D:\processed_faces\real\910,0
D:\processed_faces\real\id4_0000,0
D:\processed_faces\fake\01_04__kitchen_pan__GBC7ZGDP,1
D:\processed_faces\real\215,0
D:\processed_faces\real\23__kitchen_pan,0
D:\processed_faces\real\id53_0005,0
D:\processed_faces\real\820,0
D:\processed_faces\fake\id1_id28_0002,1
D:\processed_faces\fake\id3_id2_0008,1
D:\processed_faces\real\id28_0008,0
D:\processed_faces\fake\01_02__secret_conversation__YVGY8LOK,1
D:\processed_faces\fake\376_381,1
D:\processed_faces\real\02__secret_conversation,0
D:\processed_faces\real\542,0
D:\processed_faces\real\405,0
D:\processed_faces\real\01__walk_down_hall_angry,0
D:\processed_faces\fake\02_07__talking_against_wall__1ZE4HC06,1
D:\processed_faces\real\26__outside_talking_still_laughing,0
D:\processed_faces\fake\id7_id12_0000,1
D:\processed_faces\fake\id6_id17_0005,1
D:\processed_faces\fake\id0_id3_0004,1
D:\processed_faces\fake\503_756,1
D:\processed_faces\fake\504_502,1
D:\processed_faces\real\id29_0003,0
D:\processed_faces\real\663,0
D:\processed_faces\real\766,0
D:\processed_faces\fake\974_953,1
D:\processed_faces\real\00236,0
D:\processed_faces\fake\id2_id23_0003,1
D:\processed_faces\fake\02_15__outside_talking_still_laughing__HTG660F8,1
D:\processed_faces\real\728,0
D:\processed_faces\real\00271,0
D:\processed_faces\fake\id6_id9_0008,1
D:\processed_faces\real\07__walk_down_hall_angry,0
D:\processed_faces\real\294,0
D:\processed_faces\fake\id4_id0_0008,1
D:\processed_faces\real\101,0
D:\processed_faces\fake\836_950,1
D:\processed_faces\real\id34_0002,0
D:\processed_faces\real\id4_0009,0
D:\processed_faces\fake\02_15__outside_talking_pan_laughing__TN2CWM3K,1
D:\processed_faces\fake\id8_id5_0002,1
D:\processed_faces\real\00180,0
D:\processed_faces\fake\309_303,1
D:\processed_faces\real\id16_0000,0
D:\processed_faces\fake\id6_id16_0004,1
D:\processed_faces\real\152,0
D:\processed_faces\real\757,0
D:\processed_faces\real\630,0
D:\processed_faces\fake\id4_id9_0006,1
D:\processed_faces\real\id42_0004,0
D:\processed_faces\fake\314_347,1
D:\processed_faces\real\id56_0000,0
D:\processed_faces\real\00212,0
D:\processed_faces\fake\id8_id1_0002,1
D:\processed_faces\fake\260_331,1
D:\processed_faces\fake\id0_id23_0009,1
D:\processed_faces\real\id43_0009,0
D:\processed_faces\fake\id3_id26_0009,1
D:\processed_faces\real\id33_0001,0
D:\processed_faces\real\00056,0
D:\processed_faces\fake\02_12__walking_and_outside_surprised__9D2ZHEKW,1
D:\processed_faces\real\id45_0008,0
D:\processed_faces\fake\206_221,1
D:\processed_faces\fake\835_651,1
D:\processed_faces\real\494,0
D:\processed_faces\real\00070,0
D:\processed_faces\fake\id8_id2_0003,1
D:\processed_faces\real\00023,0
D:\processed_faces\real\15__podium_speech_happy,0
D:\processed_faces\real\id42_0002,0
D:\processed_faces\fake\488_399,1
D:\processed_faces\real\00066,0
D:\processed_faces\fake\id3_id21_0003,1
D:\processed_faces\fake\191_188,1
D:\processed_faces\fake\id1_id20_0006,1
D:\processed_faces\fake\01_14__walking_outside_cafe_disgusted__01YF7VQM,1
D:\processed_faces\fake\id1_id26_0009,1
D:\processed_faces\real\698,0
D:\processed_faces\fake\423_421,1
D:\processed_faces\fake\id4_id3_0008,1
D:\processed_faces\fake\640_638,1
D:\processed_faces\fake\032_944,1
D:\processed_faces\real\id19_0001,0
D:\processed_faces\real\326,0
D:\processed_faces\fake\663_231,1
D:\processed_faces\fake\id9_id1_0004,1
D:\processed_faces\fake\205_184,1
D:\processed_faces\real\593,0
D:\processed_faces\real\906,0
D:\processed_faces\real\id1_0005,0
D:\processed_faces\fake\441_439,1
D:\processed_faces\fake\id6_id4_0006,1
D:\processed_faces\real\11__talking_angry_couch,0
D:\processed_faces\real\227,0
D:\processed_faces\fake\02_06__walking_down_indoor_hall_disgust__U6MDWIHG,1
D:\processed_faces\real\931,0
D:\processed_faces\fake\612_702,1
D:\processed_faces\real\769,0
D:\processed_faces\fake\204_230,1
D:\processed_faces\fake\01_02__walking_down_indoor_hall_disgust__YVGY8LOK,1
D:\processed_faces\fake\id0_id21_0004,1
D:\processed_faces\real\343,0
D:\processed_faces\fake\id2_id4_0008,1
D:\processed_faces\real\120,0
D:\processed_faces\real\15__walking_and_outside_surprised,0
D:\processed_faces\real\id13_0012,0
D:\processed_faces\real\675,0
D:\processed_faces\fake\id8_id5_0003,1
D:\processed_faces\real\785,0
D:\processed_faces\real\05__walking_down_street_outside_angry,0
D:\processed_faces\real\00267,0
D:\processed_faces\real\219,0
D:\processed_faces\fake\id0_id9_0002,1
D:\processed_faces\real\26__secret_conversation,0
D:\processed_faces\fake\id1_id35_0000,1
D:\processed_faces\fake\01_15__walk_down_hall_angry__02HILKYO,1
D:\processed_faces\real\847,0
D:\processed_faces\real\00068,0
D:\processed_faces\fake\02_12__hugging_happy__9D2ZHEKW,1
D:\processed_faces\fake\02_15__hugging_happy__XNJIS4S3,1
D:\processed_faces\fake\02_25__outside_talking_pan_laughing__Z7FQ69VP,1
D:\processed_faces\real\016,0
D:\processed_faces\real\345,0
D:\processed_faces\real\00002,0
D:\processed_faces\fake\02_06__podium_speech_happy__SU4OQCS9,1
D:\processed_faces\real\18__talking_against_wall,0
D:\processed_faces\real\id5_0005,0
D:\processed_faces\real\15__kitchen_pan,0
D:\processed_faces\fake\01_09__hugging_happy__SJZRV69J,1
